ZIP,count,Total,percent_male,MedianAge,percentCollegeDegree,MedianIncome,percent_own
32304,3,47417,0.507876922,21.6,9.2,19213,0.13141994
02134,4,19009,0.486401178,26.8,28.1,34104,0.131649585
77840,3,56154,0.523257471,21.7,12,24313,0.132890705
11102,,34529,0.50870283,32.3,25.7,36351,0.132992143
44304,,5611,0.588665122,21,5.5,23117,0.133885438
10002,2,82191,0.484262267,39.8,25,31169,0.134321003
10039,,26577,0.467133236,33.3,14.3,32083,0.135233359
10472,,68898,0.483003861,30.4,4.8,24680,0.136246787
80477,,594,0.656565657,22.1,0,38125,0.137254902
98101,22,10643,0.548341633,43,55.1,51774,0.137648131
75202,2,2133,0.544303797,31.5,48,52867,0.137879911
95625,,188,0.372340426,30.4,,35781,0.137931034
70112,,3489,0.515047291,29.9,22,27318,0.138452589
32202,2,6271,0.670228034,37.7,2.7,16269,0.139835488
10027,,62617,0.449430666,30.7,16,37019,0.140057738
13102,,308,0.503246753,18.4,0,11250,0.140625
19717,,3951,0.442419641,19.1,1.4,,0.141025641
32697,,249,0.128514056,26.4,0,21042,0.142857143
40203,,18884,0.492374497,34,6.4,18965,0.143675579
90036,4,36101,0.493753636,34.9,37.4,51530,0.143786918
84784,,2839,0.472349419,16.2,0,25690,0.144117647
50309,,5431,0.559749586,30.7,31.2,31995,0.144466534
07501,,31509,0.482211432,30.8,5.3,24248,0.144846514
11225,,59182,0.445861917,33.8,11.8,33766,0.14602416
43604,,9017,0.459798159,28.3,3.3,16860,0.147579693
40280,,450,0.66,21.9,6.7,30385,0.147826087
86321,,2293,0.582206716,29.6,0,50871,0.148681055
11104,,25729,0.466866182,37.3,21.4,37208,0.149104504
84334,,284,0.345070423,26.3,,27887,0.15
10005,,6822,0.507622398,28.6,88,87110,0.15033557
66612,2,2976,0.563844086,34.6,10.7,17190,0.150530035
64105,4,3712,0.549568966,29.9,65.3,41957,0.150885296
45203,,2121,0.562942008,34.3,0,29500,0.151801029
78741,5,48654,0.529144572,26.3,10.3,21690,0.152449414
19436,,605,0.261157025,84.1,,140125,0.152542373
38105,,6720,0.532589286,32.9,15.7,24315,0.153608247
11211,,93271,0.495191431,29.7,23.4,40332,0.1540237
11213,,62059,0.452923831,32.8,8.4,33699,0.155112283
90813,,59178,0.507266214,27.6,2.5,20323,0.155575758
83025,1,128,0.59375,30.7,,,0.155844156
93628,,240,0.495833333,48.4,0,21500,0.155844156
94109,7,55519,0.501684108,37,38.1,56689,0.156271542
11212,,84520,0.412659726,31.9,4.6,30153,0.156396062
75038,2,28161,0.500514896,30,16.9,36382,0.157026848
02903,5,10613,0.498539527,27.3,13.5,30731,0.157249233
75039,2,12197,0.512175125,32.2,48.5,63717,0.157257476
38126,1,6781,0.389028167,24.3,4,19657,0.157298277
06120,2,12358,0.509467551,29.3,3.8,21839,0.157933399
77054,2,21668,0.502815211,28.3,42,39088,0.158161948
11101,3,25537,0.495790422,34,23.4,40537,0.158194131
07310,,12644,0.499130022,30.9,68.7,86135,0.158263305
65806,,9888,0.521237864,25.4,9.1,19661,0.158509113
31901,1,8048,0.514537773,34,2.7,22052,0.158573141
33944,,359,0.660167131,20.8,0,45917,0.159574468
11103,,37745,0.507140019,34.9,43.1,38698,0.16090401
77801,,14197,0.570261323,24.5,14.8,21685,0.161397671
75237,2,17203,0.425216532,27.7,1.2,29436,0.162191932
94133,6,27970,0.50178763,40.4,38.1,41424,0.16247956
86433,,164,0.634146341,57.1,0,20737,0.163265306
55404,1,28309,0.511780706,29.6,15.6,25111,0.163752115
33136,,13248,0.504000604,33.8,9.5,21856,0.163802029
90004,,62760,0.508269598,35.8,16,23348,0.165128385
53703,3,28111,0.490875458,24.1,25.4,30557,0.166116059
91205,,38504,0.489871182,37.6,14.6,27391,0.166630924
90033,2,49049,0.500030582,28.3,4.2,19598,0.166874805
97205,6,6736,0.574079572,40.4,37.1,36093,0.16809056
76701,,1715,0.637317784,28.3,5.9,16216,0.168297456
06105,1,20855,0.490242148,33.4,20.6,30373,0.169463087
23416,,476,0.514705882,26.8,,32246,0.17
46204,3,5825,0.678283262,31.7,15.6,25598,0.170927127
43201,,29389,0.550001701,22.4,9.2,29836,0.172326935
94304,9,3797,0.488806953,37.6,13.1,76563,0.172820513
45232,,6944,0.375288018,22,3,19063,0.173861852
06901,5,7213,0.496880632,35.2,35.4,55396,0.174797809
10012,1,26145,0.523656531,34.1,53.5,62093,0.174893358
91101,12,21378,0.474272617,33.8,40.7,46120,0.174923985
95389,2,1236,0.672330097,35.9,1.9,26202,0.175
78229,2,29591,0.478692846,30.4,29.2,30426,0.176198395
47901,1,3258,0.560773481,28.3,41.4,17714,0.176406335
80546,,47,0.191489362,67.3,,,0.176470588
11106,,36869,0.496162087,36.5,30.8,38054,0.176484674
91601,,37807,0.525087947,32.9,19.7,32863,0.177799913
45214,,8341,0.450665388,30.1,3.5,20160,0.178206583
