"UANUM","UANAME","Population","Latitude","Longitude","4 Week Rate","4 Week TRP","CPP","CPM"
81496,"Shepherdstown, WV--MD",4856,39.43,-77.80444440000001,2500.0,200.0,12.5,9.0
81523,"Sheridan, AR",4458,34.3069444,-92.4011111,21125.0,500.0,44.0,3.75
81550,"Sheridan, IN",2745,40.135,-86.2205556,30100.0,500.0,63.75,4.25
81577,"Sheridan, OR",8468,45.099444399999996,-123.3936111,600.0,200.0,3.0,4.0
81604,"Sheridan, WY",18786,44.7972222,-106.95555559999998,816.6666666666999,200.0,4.0,11.333333333299999
81631,"Sherman, TX",61900,33.6355556,-96.60861109999999,78975.0,145.8333333333,136.9444444444,2.5005555556
81658,"Shippensburg, PA",17008,40.0505556,-77.5205556,5187.0,560.0,9.2,10.2
81685,"Shiprock, NM",6669,36.7855556,-108.6863889,2750.0,775.0,3.625,3.375
81701,"Shorewood Forest, IN",3079,40.373611100000005,-86.33277779999999,3033.3333333333003,266.6666666667,11.666666666700001,9.0
81712,"Show Low, AZ",10409,34.2541667,-110.02916670000002,2560.0,880.0,3.4,5.0
